E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0615; 0.0164; 0.1233;  13.49  ; 107.63  ; 11.13  ; 8.1  ; -0.0537 ; 0.0053 ; 0.0699;  18.79  ; 116.37  ; 9.06  ; 4.7  ; -0.0734 ; 0.0105 ; 0.0986
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.09; 0.0122; 0.1064;  19.83  ; 94.56  ; 17.1  ; 16.61  ; -0.0458 ; 0.0122 ; 0.1064;  13.58  ; 159.33  ; 9.44  ; 3.38  ; -0.1815 ; 0.003 ; 0.0526
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0613; 0.0086; 0.0891;  18.24  ; 105.4  ; 15.94  ; 14.63  ; -0.0599 ; 0.0086 ; 0.0891;  2.84  ; 150.86  ; 1.48  ; 1.4  ; -0.1214 ; 0.0001 ; 0.0096
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0563; 0.0163; 0.1231;  21.25  ; 92.19  ; 14.34  ; 13.78  ; -0.0399 ; 0.0163 ; 0.1231;  36.86  ; 111.17  ; 25.71  ; 21.16  ; -0.1044 ; 0.0383 ; 0.189
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0641; 0.0255; 0.1534;  22.3  ; 94.16  ; 21.54  ; 11.83  ; -0.043 ; 0.0221 ; 0.1424;  21.41  ; 112.9  ; 17.2  ; 5.6  ; -0.0711 ; 0.0172 ; 0.1256
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0545; 0.0117; 0.1016;  17.68  ; 96.13  ; 16.21  ; 12.61  ; -0.0437 ; 0.0109 ; 0.1006;  13.19  ; 120.89  ; 9.13  ; 6.29  ; -0.0793 ; 0.0042 ; 0.0617
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0636; 0.0279; 0.1611;  23.84  ; 93.74  ; 22.62  ; 16.09  ; -0.0475 ; 0.022 ; 0.1423;  32.52  ; 132.82  ; 2.06  ; 1.24  ; -0.1307 ; 0.0251 ; 0.1514
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.0878; 0.0289; 0.1633;  27.78  ; 105.38  ; 14.04  ; 7.73  ; -0.0627 ; 0.0289 ; 0.1633;  36.2  ; 126.63  ; 1.21  ; 1.18  ; -0.1169 ; 0.0346 ; 0.178
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.052; 0.0165; 0.1223;  19.67  ; 93.28  ; 16.51  ; 9.56  ; -0.0364 ; 0.0165 ; 0.1223;  5.4  ; 130.25  ; 4.2  ; 4.11  ; -0.0811 ; 0.0005 ; 0.0214
E29 - [P_{c}=0.80, P_{m}= 0.25, P_{g}=100, P_{pop}=52] ; -0.073; 0.017; 0.1257;  22.41  ; 99.4  ; 14.21  ; 11.79  ; -0.0527 ; 0.017 ; 0.1257;  11.98  ; 144.5  ; 5.47  ; 1.03  ; -0.1249 ; 0.0029 ; 0.0505
