E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0491; 0.1086; 0.2557;  96.15  ; 89.4  ; 152.04  ; -0.0386 ; 0.0585 ; 0.1915;  82.09  ; 80.82  ; 71.67  ; -0.0638 ; 0.1697 ; 0.329
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0727; 0.1389; 0.2927;  78.74  ; 72.48  ; 58.45  ; -0.0533 ; 0.1389 ; 0.2927;  98.54  ; 78.57  ; 75.11  ; -0.0817 ; 0.152 ; 0.3093
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0481; 0.1257; 0.2671;  83.24  ; 58.4  ; 48.11  ; -0.0396 ; 0.1257 ; 0.2711;  123.66  ; 88.66  ; 124.41  ; -0.1001 ; 0.1276 ; 0.2671
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0717; 0.1062; 0.2489;  80.63  ; 58.95  ; 42.49  ; -0.0415 ; 0.1062 ; 0.2489;  130.64  ; 86.89  ; 123.29  ; -0.0945 ; 0.12 ; 0.2554
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.058; 0.0757; 0.2201;  98.89  ; 84.47  ; 139.55  ; -0.0434 ; 0.0757 ; 0.2201;  95.09  ; 73.12  ; 9.85  ; -0.1001 ; 0.0711 ; 0.1827
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0437; 0.0814; 0.2238;  96.52  ; 91.01  ; 157.36  ; -0.0379 ; 0.0513 ; 0.1826;  72.33  ; 61.83  ; 15.9  ; -0.0521 ; 0.0736 ; 0.1809
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0968; 0.0664; 0.1756;  70.96  ; 59.3  ; 8.79  ; -0.0504 ; 0.0654 ; 0.1715;  106.29  ; 86.93  ; 5.91  ; -0.1506 ; 0.0664 ; 0.1753
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0924; 0.1133; 0.261;  84.99  ; 74.44  ; 49.9  ; -0.0686 ; 0.1133 ; 0.261;  91.12  ; 87.04  ; 47.37  ; -0.1006 ; 0.1062 ; 0.2433
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0553; 0.1016; 0.24;  99.94  ; 96.42  ; 170.21  ; -0.0412 ; 0.0417 ; 0.168;  130.76  ; 115.7  ; 161.38  ; -0.1436 ; 0.1065 ; 0.24
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0602; 0.1159; 0.2532;  86.85  ; 61.1  ; 67.22  ; -0.038 ; 0.1373 ; 0.2897;  103.19  ; 95.48  ; 69.26  ; -0.1232 ; 0.135 ; 0.2894
E1 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0484; 0.1136; 0.2616;  74.29  ; 65.14  ; 42.38  ; -0.0467 ; 0.1136 ; 0.2616;  104.67  ; 90.95  ; 147.7  ; -0.0546 ; 0.0844 ; 0.2248
